Flow_Id,App Id,Packets,Bytes,Life,State,Timeout
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,0,PENDING_ADD,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,0,0,3,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
32088147978799629,org.onosproject.fwd,1,98,8,ADDED,10
